ROMA, CAPITAL DA ITALIA
ESPELHO, OBJETO REFLEXIVO
ENDOSCOPIA, EXAME MÉDICO
JARARACA, RÉPTIL
CARRO, TRANSPORTE COM QUATRO RODAS
MOTO, TRANSPORTE COM DUAS RODAS
CARVAO, CHURRASCO
ARROZ, JUNTO COM FEIJAO O ESSENCIAL
FEIJAO, PARTICULAS PEQUENAS
MACA, FRUTA VERMELHA
BANANA, FONTE DE CARBOIDRATO
CAQUI, FRUTA DOCE 
KIWI, FRUTA VERDE
PRATO, ONDE VAI A COMIDA
GARFO, OQUE SE COME
FACA, CORTA CARNES
TALHER, FACILITAR O ALIMENTO
CAMA, ONDE DORME
CHUVEIRO, TOMAR BANHO
TECLADO, ESCREVER 
MOUSE, MEXER
PIA, LAVAR MAOS
CADEIRA, SENTAR
MESA, SE APOIAR
TV, ASSISTIR
VENTILADOR, SE REFRESCAR
